Date,kwh
2018-03-29,35.78
2018-03-30,30.67
2018-03-31,33.49
2018-04-01,38.01
2018-04-02,45.29
2018-04-03,38.72
2018-04-04,32.87
2018-04-05,37.47
2018-04-06,34.62
2018-04-07,37.3
2018-04-08,29.06
2018-04-09,24.56
2018-04-10,22.47
2018-04-11,34.01
2018-04-12,31.47
2018-04-13,34.11
2018-04-14,37.11
2018-04-15,33.89
2018-04-16,26.34
2018-04-17,26.95
2018-04-18,29.14
2018-04-19,29.99
2018-04-20,33.52
2018-04-21,33.44
2018-04-22,34.01
2018-04-23,29.64
2018-04-24,30.23
2018-04-25,28.83
2018-04-26,34.93
2018-04-27,38.9
2018-04-28,34.87
2018-04-29,40.65
2018-04-30,39.84
2018-05-01,39.65
2018-05-02,42.62
2018-05-03,42.71
2018-05-04,42.83
2018-05-05,38.09
2018-05-06,35.76
2018-05-07,40.49
2018-05-08,40.37
2018-05-09,40.34
2018-05-10,41.34
2018-05-11,48.75
2018-05-12,43.01
2018-05-13,46.25
2018-05-14,45.91
2018-05-15,40.58
2018-05-16,45.11
2018-05-17,54.31
2018-05-18,52.81
2018-05-19,51.13
2018-05-20,44.05
2018-05-21,40.11
2018-05-22,26.97
2018-05-23,22.12
2018-05-24,33.33
2018-05-25,41.36
2018-05-26,41.35
2018-05-27,35.07
2018-05-28,34.56
2018-05-29,41.85
2018-05-30,43.09
2018-05-31,32.98
2018-06-01,39.89
2018-06-02,41.95
2018-06-03,41.59
2018-06-04,43.35
2018-06-05,47.18
2018-06-06,41.05
2018-06-07,37.49
2018-06-08,38.38
2018-06-09,35.68
2018-06-10,34.15
2018-06-11,33.86
2018-06-12,27.55
2018-06-13,28.26
2018-06-14,25.48
2018-06-15,35.47
2018-06-16,33.05
2018-06-17,32.26
2018-06-18,32.35
2018-06-19,35.48
2018-06-20,35.66
2018-06-21,34.38
2018-06-22,36.99
2018-06-23,47.09
2018-06-24,42.14
2018-06-25,36.47
2018-06-26,39.57
2018-06-27,45.23
2018-06-28,49.39
2018-06-29,56.51
2018-06-30,54.95
2018-07-01,49.87
2018-07-02,51.96
2018-07-03,53.49
2018-07-04,45.76
2018-07-05,49.43
2018-07-06,45.17
2018-07-07,41.21
2018-07-08,39.65
2018-07-09,37.99
2018-07-10,37.61
2018-07-11,37.05
2018-07-12,35.36
2018-07-13,39.36
2018-07-14,37.79
2018-07-15,39.08
2018-07-16,33.18
2018-07-17,36.88
2018-07-18,33.73
2018-07-19,28.26
2018-07-20,26.78
2018-07-21,29.74
2018-07-22,28.64
2018-07-23,26.52
2018-07-24,30.46
2018-07-25,32.32
2018-07-26,37.01
2018-07-27,34.72
2018-07-28,34.65
2018-07-29,44.28
2018-07-30,51.13
2018-07-31,50.72
2018-08-01,48.04
2018-08-02,36.06
2018-08-03,32.28
2018-08-04,38.87
2018-08-05,35.6
2018-08-06,31.67
2018-08-07,42.6
2018-08-08,38.07
2018-08-09,30.45
2018-08-10,22.69
2018-08-11,29.96
2018-08-12,32.82
2018-08-13,32.28
2018-08-14,30.34
2018-08-15,35.44
2018-08-16,40.58
2018-08-17,44.52
2018-08-18,40.07
2018-08-19,37.35
2018-08-20,47.23
2018-08-21,44.87
2018-08-22,41.81
2018-08-23,41.95
2018-08-24,37.9
2018-08-25,37.27
2018-08-26,21.25
2018-08-27,20.35
2018-08-28,21.55
2018-08-29,16.85
2018-08-30,28.01
2018-08-31,34.51
2018-09-01,25.09
2018-09-02,23.71
2018-09-03,30.34
2018-09-04,32.16
2018-09-05,33.25
2018-09-06,30.25
2018-09-07,33.17
2018-09-08,38.03
2018-09-09,32.05
2018-09-10,39.88
2018-09-11,36.58
2018-09-12,32.12
2018-09-13,25.26
2018-09-14,28.66
2018-09-15,29.07
2018-09-16,24.33
2018-09-17,27.85
2018-09-18,35.47
2018-09-19,34.47
2018-09-20,35.22
2018-09-21,38.02
2018-09-22,36.47
2018-09-23,43.17
2018-09-24,47.75
2018-09-25,49.93
2018-09-26,45.31
2018-09-27,47.5
2018-09-28,49.7
2018-09-29,50.01
2018-09-30,42.5
2018-10-01,38.45
2018-10-02,29.89
2018-10-03,26.11
2018-10-04,20.2
2018-10-05,21.99
2018-10-06,27.01
2018-10-07,23.01
2018-10-08,24.68
2018-10-09,24.64
2018-10-10,24.03
2018-10-11,24.33
2018-10-12,28.31
2018-10-13,25.63
2018-10-14,25.81
2018-10-15,25.25
2018-10-16,19.64
2018-10-17,22.34
2018-10-18,20.73
2018-10-19,18.12
2018-10-20,21.52
2018-10-21,24.19
2018-10-22,24.6
2018-10-23,21.03
2018-10-24,18.83
2018-10-25,13.36
2018-10-26,18.8
2018-10-27,14.41
2018-10-28,18.79
2018-10-29,19.19
2018-10-30,25.68
2018-10-31,28.8
2018-11-01,29.96
2018-11-02,29.16
2018-11-03,31.4
2018-11-04,35.64
2018-11-05,30.86
2018-11-06,35.03
2018-11-07,37.35
2018-11-08,37.31
2018-11-09,31.13
2018-11-10,25.71
2018-11-11,26.16
2018-11-12,30.89
2018-11-13,28.7
2018-11-14,31.84
2018-11-15,20.06
2018-11-16,20.47
2018-11-17,22.88
2018-11-18,28.93
2018-11-19,31.34
2018-11-20,32.36
2018-11-21,35.25
2018-11-22,34.02
2018-11-23,29.85
2018-11-24,31.08
2018-11-25,19.5
2018-11-26,20.46
2018-11-27,26.48
2018-11-28,19.07
2018-11-29,21.35
2018-11-30,22.59
2018-12-01,10.28
2018-12-02,8.23
2018-12-03,11.08
2018-12-04,8.69
2018-12-05,15.12
2018-12-06,14.57
2018-12-07,13.8
2018-12-08,16.93
2018-12-09,23.42
2018-12-10,16.64
2018-12-11,16.03
2018-12-12,19.25
2018-12-13,22.04
2018-12-14,16.16
2018-12-15,19.36
2018-12-16,26.75
2018-12-17,20.75
2018-12-18,20.36
2018-12-19,14.43
2018-12-20,14.17
2018-12-21,19.3
2018-12-22,28.42
2018-12-23,33.37
2018-12-24,29.45
2018-12-25,33.09
2018-12-26,26.11
2018-12-27,20.07
2018-12-28,24.88
2018-12-29,30.43
2018-12-30,23.25
2018-12-31,21.33
2019-01-01,17.26
2019-01-02,22.18
2019-01-03,15.32
2019-01-04,12.47
2019-01-05,13.94
2019-01-06,17.85
2019-01-07,22.81
2019-01-08,17.8
2019-01-09,20.28
2019-01-10,18.53
2019-01-11,25.17
2019-01-12,25.59
2019-01-13,23.58
2019-01-14,22.46
2019-01-15,21.06
2019-01-16,20.14
2019-01-17,19.29
2019-01-18,17.34
2019-01-19,14.98
2019-01-20,5.52
2019-01-21,11.83
2019-01-22,13.23
2019-01-23,16.97
2019-01-24,21.62
2019-01-25,24.39
2019-01-26,19.4
2019-01-27,22.25
2019-01-28,20.51
2019-01-29,18.32
2019-01-30,23.86
2019-01-31,19.06
2019-02-01,28.98
2019-02-02,23.64
2019-02-03,22.63
2019-02-04,19.2
2019-02-05,19.07
2019-02-06,17.1
2019-02-07,27.76
2019-02-08,28.24
2019-02-09,15.43
2019-02-10,16.71
2019-02-11,21.66
2019-02-12,26.13
2019-02-13,22.26
2019-02-14,20.8
2019-02-15,21.91
2019-02-16,26.94
2019-02-17,18.66
2019-02-18,19.57
2019-02-19,24.43
2019-02-20,31.16
2019-02-21,34.15
2019-02-22,27.15
2019-02-23,24.12
2019-02-24,29.91
2019-02-25,23.37
2019-02-26,27.65
2019-02-27,28.99
2019-02-28,29.69
2019-03-01,41.04
2019-03-02,38.24
2019-03-03,34.11
2019-03-04,35.11
2019-03-05,38.93
2019-03-06,33.68
2019-03-07,39.17
2019-03-08,40.05
2019-03-09,38.47
2019-03-10,31.13
2019-03-11,19.07
2019-03-12,21.04
2019-03-13,13.95
2019-03-14,16.15
2019-03-15,17.78
2019-03-16,22.16
2019-03-17,25.05
2019-03-18,26.63
2019-03-19,29.72
2019-03-20,31.37
2019-03-21,23.57
2019-03-22,20.87
2019-03-23,21.4
2019-03-24,24.11
2019-03-25,27.5
2019-03-26,27.49
2019-03-27,25.98
2019-03-28,27.68
2019-03-29,25.88
2019-03-30,27.6
2019-03-31,32.24
2019-04-01,37.28
2019-04-02,41.79
2019-04-03,48.31
2019-04-04,37.25
2019-04-05,41.36
2019-04-06,35.24
2019-04-07,32.68
2019-04-08,38.28
2019-04-09,33.93
2019-04-10,24.42
2019-04-11,24.94
2019-04-12,23.32
2019-04-13,16.56
2019-04-14,26.08
2019-04-15,28.99
2019-04-16,25.16
2019-04-17,32.8
2019-04-18,35.88
2019-04-19,40.66
2019-04-20,33.78
2019-04-21,36.04
2019-04-22,38.82
2019-04-23,34.52
2019-04-24,38.41
2019-04-25,39.58
2019-04-26,41.11
2019-04-27,40.63
2019-04-28,40.24
2019-04-29,42.41
2019-04-30,37.35
2019-05-01,38.78
2019-05-02,38.46
2019-05-03,37.26
2019-05-04,41.35
2019-05-05,50.05
2019-05-06,49.37
2019-05-07,43.18
2019-05-08,44.48
2019-05-09,46.1
2019-05-10,43.7
2019-05-11,44.29
2019-05-12,42.93
2019-05-13,40.07
2019-05-14,32.05
2019-05-15,36.61
2019-05-16,34.89
2019-05-17,37.31
2019-05-18,35.4
2019-05-19,29.74
2019-05-20,25.18
2019-05-21,25.86
2019-05-22,31.1
2019-05-23,37.47
2019-05-24,34
2019-05-25,40.08
2019-05-26,41.33
2019-05-27,40.77
2019-05-28,35.81
2019-05-29,38.2
2019-05-30,33.7
2019-05-31,35.25
2019-06-01,36.62
2019-06-02,29.94
2019-06-03,33.95
2019-06-04,28.11
2019-06-05,29.71
2019-06-06,32.55
2019-06-07,37.64
2019-06-08,44.43
2019-06-09,40.68
2019-06-10,42.2
2019-06-11,37.77
2019-06-12,38.11
2019-06-13,28.44
2019-06-14,21.79
2019-06-15,22.51
2019-06-16,24.2
2019-06-17,26.22
2019-06-18,33.95
2019-06-19,40.47
2019-06-20,41.26
2019-06-21,37.18
2019-06-22,30.74
2019-06-23,34.66
2019-06-24,33.33
2019-06-25,32.14
2019-06-26,33.45
2019-06-27,37.32
2019-06-28,31.99
2019-06-29,34.62
2019-06-30,36.88
2019-07-01,32.12
2019-07-02,31.62
2019-07-03,34.94
2019-07-04,33.48
2019-07-05,31.63
2019-07-06,27.86
2019-07-07,27.68
2019-07-08,32.69
2019-07-09,35.64
2019-07-10,34.79
2019-07-11,28.77
2019-07-12,31.77
2019-07-13,43.94
2019-07-14,47.08
2019-07-15,48.36
2019-07-16,41
2019-07-17,42.48
2019-07-18,44.83
2019-07-19,34.26
2019-07-20,34.67
2019-07-21,33.63
2019-07-22,35.49
2019-07-23,35.04
2019-07-24,28.66
2019-07-25,28.73
2019-07-26,32.81
2019-07-27,31.65
2019-07-28,40.5
2019-07-29,41.9
2019-07-30,39.99
2019-07-31,32.49
2019-08-01,23.24
2019-08-02,23.94
2019-08-03,27.18
2019-08-04,30.57
2019-08-05,36.12
2019-08-06,35.96
2019-08-07,37.97
2019-08-08,40.32
2019-08-09,33.55
2019-08-10,29.86
2019-08-11,34.56
2019-08-12,34.73
2019-08-13,40.43
2019-08-14,33.01
2019-08-15,31.98
2019-08-16,37.28
2019-08-17,34.33
2019-08-18,37.42
2019-08-19,31.3
2019-08-20,24.19
2019-08-21,22.78
2019-08-22,23.87
2019-08-23,25.67
2019-08-24,18.14
2019-08-25,25.57
2019-08-26,27.74
2019-08-27,28.22
2019-08-28,18.81
2019-08-29,19.77
2019-08-30,14.89
2019-08-31,20.53
2019-09-01,18.96
2019-09-02,22.13
2019-09-03,16.48
2019-09-04,23.29
2019-09-05,35.65
2019-09-06,27.47
2019-09-07,26.52
2019-09-08,26.83
2019-09-09,21.02
2019-09-10,24.96
2019-09-11,26.51
2019-09-12,19.81
2019-09-13,32.76
2019-09-14,36.49
2019-09-15,33.58
